,Search,Tweet_Date,Original_Tweet
104,Bolsonaro,2022-04-17,"Se o Bolsonaro fizer as pazes com Dória!

E pedisse pra você votar nele....você votaria?"
105,Bolsonaro,2022-04-17,"@BrunaRafaelaCec Oloko, filho do Bolsonaro?"
106,Bolsonaro,2022-04-17,@Carlos_Jodi2 Abertamente contra o Presidente Bolsonaro! Ridículo 🙄
107,Bolsonaro,2022-04-17,"@IvanValente @pejulio Mas os cofres públicos NÃO foram ASSALTADOS COMO NO TEMPO DO PT.
BOLSONARO 22 🇧🇷🇧🇷🇧🇷🇧🇷"
108,Bolsonaro,2022-04-17,@alexsalmeida @jccboka_julio @Biakicis @jairbolsonaro Aqui minha foto! FORA BOLSONARO! https://t.co/aRtHDttKlF
109,Bolsonaro,2022-04-17,"@Biakicis @jairbolsonaro Não só na minha família mas meu círculo de amigos tb, todos Bolsonaro na veia 🙏🇧🇷🇧🇷🇧🇷"
110,Bolsonaro,2022-04-17,"Vivendo em um ""mundo paralelo das purpurina"", o calciha adolado tranca rua @jdoriajr
Doria ataca Bolsonaro e vira motivo de chacota 1% https://t.co/uf4BUAVXTD"
111,Bolsonaro,2022-04-17,"@Biakicis @jairbolsonaro Aqui em kz são 7 Votos. Nenhum é @Bolsonaro! Temos 5 @Lula, 1 Ciro e o outro indeciso pois acredita em FakeNews."
112,Bolsonaro,2022-04-17,"@Anitta @GettyImages Sábia que a Anitta era fada sensata e apoiava o Bolsonaro 🇧🇷🇧🇷🇧🇷 agora sim, o melhor presidente com nossa estrela internacional teremos um país melhor 🇧🇷🇧🇷🇧🇷🇧🇷"
113,Bolsonaro,2022-04-17,@Carol_freitas91 @KelsonF64866682 @CarlosBolsonaro Sim. Bolsonaro reeleito. Bjs. Tchau
114,Bolsonaro,2022-04-17,"@zfabrogmailcom Arrumaram um empregão no banco mundial. Ao invés, de dizer obrigado, larga o emprego, e vem bater no Bolsonaro e os seus. https://t.co/OetOvPhNut"
115,Bolsonaro,2022-04-17,"Pra quem insiste que não houve ditadura, como recentemente fez Bolsonaro, Braga Netto, Heleno, Mourão e demais fascistóides militares, a tortura é prova cabal e incontestável da sua realidade. Áudios do STM detalham o fato sem margem a contestação. https://t.co/A1F5jQZzDE"
116,Bolsonaro,2022-04-17,"Anitta Patriota passando pela sua timeline kkkkkk
Ela tava apaixonada pelo Bolsonaro e não tava sabendo admitir 🤣 https://t.co/LBmXQ8ojJ4"
117,Bolsonaro,2022-04-17,"Quem são os idiotas que acreditam que pessoas no Brasil que usam as redes sociais, WhatsApp, Insta, Fb e outras, ñ saibam quem sejam Bolsonaro ou Loola.

Ñ será uma mensagem ""MÁGICA"" nessa altura do campeonato, q fará alguma mudança nas eleições. 

Já está DETERMINADO.
#Bolsonaro"
118,Bolsonaro,2022-04-17,"@luiz_XXXIV @anavilarinol @Anitta E sim, ele SABE que sem Lula e PT o bolsonarismo perde sua razão de existir, vira um vazio. Então a presença do partido e seu líder fortalece sim bolsonaro.
Só mesmo modo que a presença de bolsonaro fortalece Lula no momento, as pessoas estão com medo da reeleição (com razão)"
119,Bolsonaro,2022-04-17,"Bolsonaro     🤝      Artur Aguiar
   Amaldiçoando o número 17
   (e juntando o mesmo gado)"
120,Bolsonaro,2022-04-17,EI BOLSONARO VAI TOMAR NO CU https://t.co/FVOotX11iV
121,Bolsonaro,2022-04-17,@joaoluizpedrosa Nananinanao. Não representa a educação no#BBB22.  Educação sem qualidade já basta o Governo Bolsonaro.  #ForaJessie
122,Bolsonaro,2022-04-17,"@reinaldoazevedo Que GROSELHA !! Nunca este país teve movimentos massivo de apoio espontâneo como com Bolsonaro .
Aceita que de dói menos kkkkk"
123,Bolsonaro,2022-04-17,"@LuizMS4 @BlogdoNoblat O Bolsonaro devolveu a esperança aos brasileiros, Salve nosso ídolo e vc pode ir se acostumando ou mude para Venezuela sei Lixo."
124,Bolsonaro,2022-04-17,@Biakicis @jairbolsonaro na minha casa somos 2 e todos com bolsonaro
125,Bolsonaro,2022-04-17,@gleisi @Anitta Bolsonaro 22
126,Bolsonaro,2022-04-17,jair bolsonaro comunismo https://t.co/7K3IS3evuv https://t.co/cUWvgIyPCU
127,Bolsonaro,2022-04-17,"Pé-quente, Bolsonaro vê vitória do Santos no Brasileirão e recebe carinho do torcedor (veja o vídeo) https://t.co/kFhb9w3GXj"
128,Bolsonaro,2022-04-17,"@HENRIQUEVROCHA Sim, bom é o Casagrande falando do Bolsonaro no meio da transmissao, o Junior puxando sardinha pro Flamengo, o Bob Faria falando bobagem..."
129,Bolsonaro,2022-04-17,"@edumilsonpapo10 Que pensamento babaca. Tu votastes no Bolsonaro, mesmo sabendo que ele era um canalha. Doria é um bom gestor. Colocou Bolsonaro na parede. Tu erras toda eleição. Mas não permite um erro de um bom político?"
130,Bolsonaro,2022-04-17,@DepEduardoCunha Vai votar em Bolsonaro né mestre?
131,Bolsonaro,2022-04-17,"@birajve @Igor18381 @flferronato @opropriofaka @PatrickFolena2 que mentira, mano. que mentira.

todo BOLSONARISTA SEMPRE VENCEU com OPOSIÇÃO da MÍDIA. mídia NÃO elege bolsonarista, não.

que infantilidade é essa? Tarcísio é POTENCIALMENTE mais forte que o Bolsonaro. pois ele é mais moderado.

Tarcísio tem apoio de Bolsonarista + Centro."
132,Bolsonaro,2022-04-17,Bolsonaro colocou 100 anos de sigilo em dados: O que ele está querendo e... https://t.co/yKPTOmRbbY via @YouTube
133,Bolsonaro,2022-04-17,"@Rconstantino @mitags Barroso é melhor jairseacustumando ,Bolsonaro rumo à 2022reeleito, pt nunca mais"
134,Bolsonaro,2022-04-17,"@PRATAMURILO Olha só Bolsonaro e Lula tem muita coisa em comum, mesmo!!! Não foi no avião presidencial que pegaram 20 kg de cocaína?"
135,Bolsonaro,2022-04-17,"@Super_SinceroBH @LulaOficial @tesoureiros ""raiva é que boa parte da população são como eles""
exatamente! Não diferem em NADA, deles! 

Mas, sinceramente, 
Lula, Bolsonaro, são mais 500 anos evoluindo. 

https://t.co/KsSWRv2J7R"
136,Bolsonaro,2022-04-17,"trabalhar lendo reportagem só me faz ter mais ódio desse governo, vcs sabiam que o bolsonaro ganhou uma medalha por mérito indigenista? kkkkkkkkkkk"
137,Bolsonaro,2022-04-17,@anaolivias Jair Bolsonaro vai à Vila Belmiro e veste a camisa do Santos antes do clássico contra São Paulo | santos | ge https://t.co/OTKHLdwCpt
138,Bolsonaro,2022-04-17,"9h da noite a gata discutindo bolsonaro x lula no xaxixão 
olha"
139,Bolsonaro,2022-04-17,"@SantiagoValeBC @juleaFR @eduardofilhoef @Anitta Votei em Jair Bolsonaro, não em Flávio Bolsonaro. E não discutirei minha preferência política com ninguém. Podem parar por aí, não entrarei nesse joguinho idiota q só pretende agredir, não estou aqui nem pra convencer e muito menos pra ser convencida. Já tenho minhas convicções!"
140,Bolsonaro,2022-04-17,"@paulofelipecwb @AndrBozzato @Rconstantino Mas é curioso você citar o caso da corrupção da Petrobrás justamente pelo fato de que um dos presos no esquema é o líder do partido que o Bolsonaro recorreu para se candidatar.

https://t.co/gAbgVK4Vsc"
141,Bolsonaro,2022-04-17,"@RoseliG70553330 @Biakicis @jairbolsonaro Tenho 50 funcionários, 48 são Bolsonaro minha família de 56 na sua totalidade e Bolsonaro, então está reeleito nosso presidente , e ponto final , agora é só aguardar pelo Paulo Guedes em 2027."
